10013165,10013165|2020-10-19|2020-12-09,31-60,Leisure,1001-2000,NA,0,1,0,1,very_low
10026513,10026513|2020-10-20|2020-11-18,11-30,Leisure,1001-2000,NA,0,1,0,1,very_high
10033969,10033969|2020-10-19|2020-12-03,31-60,Business,2001-5000,NA,0,1,0,1,very_low
1005940,1005940|2020-11-13|2020-12-30,31-60,NA,NA,NA,0,1,0,1,high
10060019,10060019|2020-11-11|2021-01-23,>60,NA,NA,NA,0,1,0,1,very_low
10072681,10072681|2020-11-07|2020-12-15,31-60,NA,NA,NA,0,1,0,1,very_high
10123589,10123589|2020-10-19|2020-12-11,31-60,Leisure,2001-5000,NA,0,2,0,1,high
1015498,1015498|2020-11-11|2021-01-17,>60,NA,NA,NA,0,2,0,2,Not_Available
10175491,10175491|2020-11-09|2020-12-26,31-60,NA,NA,NA,0,1,0,1,very_low
10219391,10219391|2020-10-19|2020-11-25,31-60,Leisure,>5000,NA,0,1,0,1,very_low
1024384,1024384|2020-10-19|2020-11-24,31-60,Business,2001-5000,NA,0,1,0,1,very_low
10273203,10273203|2020-11-12|2020-11-24,11-30,NA,NA,NA,0,1,0,1,very_high
10281555,10281555|2020-11-18|2020-11-19,1,NA,NA,NA,0,2,0,2,high
1029905,1029905|2020-11-03|2020-12-04,31-60,NA,NA,NA,0,1,0,1,high
10305451,10305451|2020-10-19|2020-11-30,31-60,Leisure,1001-2000,NA,0,1,0,1,very_low
10310493,10310493|2020-11-10|2020-12-02,11-30,NA,NA,NA,0,2,0,1,low
1031390,1031390|2020-11-10|2020-12-18,31-60,NA,NA,NA,0,3,0,3,very_low
10366643,10366643|2020-10-20|2020-11-29,31-60,Leisure,2001-5000,NA,0,1,0,1,very_high
10421085,10421085|2020-11-17|2020-11-24,6-10,NA,NA,NA,0,1,0,1,very_high
10485865,10485865|2020-11-17|2020-11-19,2-5,NA,NA,NA,0,3,0,3,very_low
105422,105422|2020-11-17|2020-12-28,31-60,NA,NA,NA,0,2,0,1,Not_Available
1056048,1056048|2020-11-17|2020-11-18,1,NA,NA,NA,0,1,0,1,very_low
1057479,1057479|2020-11-06|2021-01-01,31-60,NA,NA,NA,0,1,0,1,very_high
1059006,1059006|2020-10-20|2020-11-18,11-30,Leisure,2001-5000,NA,0,1,0,1,very_high
10604163,10604163|2020-11-04|2020-12-16,31-60,NA,NA,NA,0,1,0,1,very_high
1061252,1061252|2020-11-16|2020-11-18,2-5,NA,NA,NA,0,2,0,1,high
1061366,1061366|2020-10-19|2020-11-24,31-60,Business,>5000,NA,0,3,0,1,very_low
10629447,10629447|2020-10-19|2021-01-10,>60,Business,0-1000,NA,0,1,0,1,very_low
10632677,10632677|2020-11-18|2020-11-30,11-30,Business,2001-5000,NA,0,1,0,1,very_low
10703779,10703779|2020-11-10|2020-11-21,11-30,NA,NA,NA,0,1,0,1,very_high
10728067,10728067|2020-10-19|2020-11-24,31-60,Leisure,>5000,NA,0,1,0,1,Not_Available
107330,107330|2020-11-17|2020-12-05,11-30,NA,NA,NA,0,1,0,1,Not_Available
10763813,10763813|2020-10-19|2020-12-01,31-60,NA,NA,NA,0,1,0,1,very_low
1081276,1081276|2020-11-18|2020-11-18,0,NA,NA,NA,0,1,0,1,very_low
10814913,10814913|2020-11-16|2020-11-19,2-5,NA,NA,NA,0,3,0,2,very_low
10827397,10827397|2020-10-19|2020-11-25,31-60,Leisure,2001-5000,NA,0,1,0,1,very_low
10836581,10836581|2020-11-11|2020-11-18,6-10,NA,NA,NA,0,1,0,1,very_low
10871899,10871899|2020-10-27|2020-11-20,11-30,NA,NA,NA,0,1,0,1,very_low
10878381,10878381|2020-10-20|2020-12-31,>60,Business,>5000,NA,0,1,0,1,low
1088002,1088002|2020-10-29|2020-12-10,31-60,NA,NA,NA,0,1,0,1,very_low
10905463,10905463|2020-10-20|2020-12-09,31-60,Business,>5000,NA,0,1,0,1,Not_Available
1094806,1094806|2020-10-19|2020-12-11,31-60,NA,2001-5000,NA,0,1,0,1,very_low
10955265,10955265|2020-10-20|2020-12-10,31-60,Leisure,2001-5000,NA,0,1,0,1,very_low
1095863,1095863|2020-10-20|2020-12-07,31-60,Leisure,>5000,NA,0,1,0,1,very_low
1096413,1096413|2020-11-16|2020-11-27,11-30,NA,NA,NA,0,3,0,1,very_high
10992177,10992177|2020-10-19|2020-11-20,31-60,Leisure,>5000,NA,0,2,0,1,Not_Available
11081399,11081399|2020-11-16|2020-12-31,31-60,NA,NA,NA,0,1,0,1,Not_Available
11089415,11089415|2020-10-19|2020-12-18,31-60,Business,>5000,NA,0,1,0,1,very_low
1110233,1110233|2020-11-06|2020-12-29,31-60,NA,NA,NA,0,1,0,1,very_high
11106415,11106415|2020-10-19|2020-12-25,>60,Business,>5000,NA,0,1,0,1,mid
1115032,1115032|2020-10-19|2020-11-19,31-60,Leisure,>5000,NA,0,1,0,1,high
111643,111643|2020-11-01|2020-11-22,11-30,NA,2001-5000,NA,1,2,0,0,very_low
11237125,11237125|2020-11-11|2020-12-10,11-30,NA,NA,NA,0,1,0,1,very_low
11251801,11251801|2020-11-17|2020-11-18,1,NA,NA,NA,0,1,0,1,very_high
11297419,11297419|2020-11-18|2020-11-21,2-5,NA,NA,NA,0,1,0,1,very_low
11328121,11328121|2020-10-21|2020-12-15,31-60,NA,NA,NA,0,1,0,1,Not_Available
