HotelName,City,CityID,HotelID
Palm Woods,Sleeper,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd,3b7de32d-f876-483a-963e-34984f15296c
The Robe Hotel,Sleeper,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd,1636ff7e-108e-4551-a46f-dd21f3e31820
Hotel City Lake,Sleeper,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd,fde58272-7820-4d0d-9d96-7af8f81ac813
The Pink Sheet,Sleeper,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd,c36a6eed-c717-46dd-bc2c-bfb6c29f14eb
Carpe Diem,Sleeper,25b647a9-5a9b-4d0e-ab11-bcb2ed8f1fbd,ff631048-dca0-46ef-a6ed-1681fa359380
Palm Woods,Arnoldsville,13f09300-0aab-4a39-8869-00b327da11c8,b18f8441-5366-45bb-bd46-00ca22094786
The Robe Hotel,Arnoldsville,13f09300-0aab-4a39-8869-00b327da11c8,bdcb38e3-d044-4469-a43b-fdeb022b11b6
Hotel City Lake,Arnoldsville,13f09300-0aab-4a39-8869-00b327da11c8,59aaddd4-873c-4d8c-a3f3-9acdf9ca794a
The Pink Sheet,Arnoldsville,13f09300-0aab-4a39-8869-00b327da11c8,12d0c7e4-5527-455c-a6e1-eb67a425475a
Carpe Diem,Arnoldsville,13f09300-0aab-4a39-8869-00b327da11c8,91b01360-24cd-448a-93bc-f9174c25f667
Palm Woods,East Hampton,a813dd87-206b-4179-8b43-dc601035dac3,506d12f1-2058-4a30-8276-d360e1b24dee
The Robe Hotel,East Hampton,a813dd87-206b-4179-8b43-dc601035dac3,6b7ce6e7-aa45-4e75-a17a-138eb42ae27a
Hotel City Lake,East Hampton,a813dd87-206b-4179-8b43-dc601035dac3,6b0002ea-581c-4e5b-8d33-44c8fb7e6823
The Pink Sheet,East Hampton,a813dd87-206b-4179-8b43-dc601035dac3,96f347bc-9d96-4916-8c99-655f2211f55f
Carpe Diem,East Hampton,a813dd87-206b-4179-8b43-dc601035dac3,f6e0428f-ccbe-4270-90cd-55d075a9a447
Palm Woods,Cleo,b7a70d27-f1e0-4b64-aee4-d3c13ac764db,c03bd916-a749-45ed-9996-71e9e4933fbf
The Robe Hotel,Cleo,b7a70d27-f1e0-4b64-aee4-d3c13ac764db,93543317-8c13-48d3-bdb2-215da413ba77
Hotel City Lake,Cleo,b7a70d27-f1e0-4b64-aee4-d3c13ac764db,86c1e86b-ea14-4e70-a099-2e7f9658b22b
The Pink Sheet,Cleo,b7a70d27-f1e0-4b64-aee4-d3c13ac764db,05f084fd-90bb-4d05-9107-535c7c5cd8ac
Carpe Diem,Cleo,b7a70d27-f1e0-4b64-aee4-d3c13ac764db,5e258d5d-f730-4887-b272-998fd0394535
Palm Woods,Pennville,0ee62ade-064f-4d50-a157-2401f45652ff,c6582047-5ab5-4e90-9415-1c5e00deea24
The Robe Hotel,Pennville,0ee62ade-064f-4d50-a157-2401f45652ff,23b98226-27c0-4e78-9326-bca48244c0fa
Hotel City Lake,Pennville,0ee62ade-064f-4d50-a157-2401f45652ff,bfda5018-439d-4d44-b213-08227ccc4630
The Pink Sheet,Pennville,0ee62ade-064f-4d50-a157-2401f45652ff,38a27c6c-4556-48cf-8266-a7b6e135e063
Carpe Diem,Pennville,0ee62ade-064f-4d50-a157-2401f45652ff,c1b04267-90e9-4f02-b63c-b5937194c9d8
Palm Woods,Sullivan's Island,f899a266-08d4-4210-b177-a39743966629,f4b812d1-e8c7-4c12-bd71-801bc3eeaed3
